entity,CM,ARR,CHD,VD,IHD,CCD,VOO,OTH
P00749,4.492590361933031e-06,2.34046054948246e-06,0.0,0.0,2.4151147305716737e-05,0.0,0.0,0.0
Q04721,8.939510542858003e-07,0.0,0.00019892950996643413,3.2398089793624017e-06,3.6332598370003955e-06,0.0,0.0,0.0
Q92537,0.0,2.3408663164800183e-06,1.9275917667060714e-06,0.0,0.0,0.0,0.0,0.0
F5HCM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4037307338749955e-06
P0DJI9,0.0,0.0,0.0,0.0,2.8260479985463424e-05,0.0,0.0,0.0
Q9P2E5,0.0,2.3407247469119217e-06,0.0,0.0,0.0,7.2780862714501714e-06,0.0,0.0
Q96G74,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
Q9NZL9,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
Q06587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6663731426821318e-05
Q14137,8.947387663989696e-07,0.0,0.0,0.0,7.240862623168766e-07,0.0,0.0,0.0
Q04760,8.151631203433591e-05,0.0,0.0,0.0,5.78905671497334e-05,0.0,0.0,0.00012262445045162714
P28908,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
P21860-1,5.361933539817715e-06,0.0,3.2331960878698405e-05,0.0,0.0,0.0,0.0,8.328306958876207e-06
O43570,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
P05452,0.00048155339708627105,0.0,1.1520052595960054e-05,1.9366134136994566e-05,0.0002978387787779749,0.0,0.0,0.0
P53675,0.0,0.0,1.8304226416288167e-05,0.0,0.0,0.0,0.0,0.0
Q9H223,0.0,0.0,0.0,0.0,2.2942126378287874e-06,0.0,0.0,0.0
Q8TAP9,0.0,0.0,0.0,5.4300235858007744e-05,0.0,0.0,0.0,0.0
Q9Y6M9,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9BVJ6,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
P29992,0.0,0.0,0.0001324961262448891,0.0,0.0,0.0,0.0,1.2879298453850262e-05
Q9NVH6,8.501136860682737e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P78346,0.0,0.0,6.105454296074321e-06,0.0,0.0,0.0,0.0,0.0
P16298,1.071903694796872e-05,0.0,1.1537138140165539e-05,0.0001261923952434318,7.234433376090452e-07,0.0,0.0,2.0411813251637722e-05
P29597,1.1541430430430895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9BZR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134945757152328e-05
Q9UBP5,4.454721385739852e-06,0.0005831551076252425,0.0009242433173876854,3.2146638291904938e-06,6.820590001641452e-06,0.0012691290247197143,0.0,2.0253543548762302e-05
O75822,8.947305987345125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.390088860532305e-06
P26373,0.0,0.0,1.1546756350876796e-05,0.0,0.0,0.0,0.0,0.0
P54578,0.0,0.0,1.9253062331514716e-06,2.9978522627401374e-05,1.8279079161497794e-05,0.0,8.775639182880259e-05,0.00013101146870526896
P43250,0.0,0.0,0.0,0.0,9.340579280646174e-06,0.0,0.0,0.0
Q86SS6,0.0,0.0,2.8312157998852655e-05,0.0,0.0,0.0,0.0,0.0
Q5EBM0,4.492969541193349e-06,0.0,1.9274202994685494e-06,3.2422648733911948e-06,7.239971903519027e-07,0.0,0.0,1.3899305496891335e-06
P27918,0.0006628025422848018,7.39878779942072e-06,1.923916136842042e-06,0.0,4.33196078217877e-06,0.0,0.0,0.0
P67775,8.941671822746531e-07,0.0,0.0,1.026083486042252e-05,0.0,0.0,3.0099826317972374e-05,7.02092860059946e-05
P01344,0.00014996873324888468,0.0,1.8251817950032645e-05,3.068667072867473e-05,0.00013148083472417564,0.0,3.0029748130462606e-05,0.00038615362782075385
P49767,0.0,0.0,1.9275637175457026e-06,0.0,6.715187039867412e-06,0.0,0.0,0.0
Q96NN9,0.0,0.0,4.1487667615635244e-05,0.0,7.239142458548646e-07,0.0,0.0,0.0
Q15389,0.0014569991152530235,7.303170397128397e-06,0.0001027327001806889,3.194545379547388e-06,0.002925628897845643,0.0,9.380995078949752e-06,0.0009773341338496632
P08069,0.0012834723440770773,7.77673484871795e-05,0.00016978939955611904,3.0475750127494187e-05,0.0006258117547268382,0.0,0.0,0.0010393012145724317
Q6ZWT7,5.362302620822369e-06,0.0,1.927322406268456e-06,1.9408718782744795e-05,0.0,0.0,0.0,0.0
Q9P0W2,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
O95236,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
P21333,0.0002730434995682381,2.185513832626254e-05,0.0013204326869348767,0.004376765054199435,0.00010748896538408417,7.158266867615517e-06,0.00031770510903884457,0.00010653414679976255
P07711,0.0,7.412632728153504e-06,0.0,0.0,7.240332326963004e-07,0.0,0.0,1.389999743818929e-06
Q8N264,0.0,0.0,0.0,3.2426090257257206e-06,0.0,0.0,0.0,0.0
O75791,8.94451530520768e-07,2.2215929549013124e-05,0.0,0.0,0.0,2.3007964670504764e-05,0.0,0.0
Q92908,6.011518575525608e-05,0.0007398607188350472,0.009894617241336848,0.0007683278603540457,1.3093763106777523e-05,0.0,5.5444468758532295e-05,0.00020688544378768162
P08473,0.01259119870259065,6.803254535655102e-05,1.8723855396807852e-06,1.5810427059534704e-05,0.00028766404796534115,7.070069464664281e-06,0.0,0.00034333378190399573
O43557,0.0,2.340423396789083e-06,1.9272270434651286e-06,0.0,3.953635317918578e-05,0.0,0.0,0.0
P55085,0.001237219890131993,0.0006764694738040434,9.597473625073652e-06,0.0,0.0004886021543188798,0.0,0.0,0.0004141420415172973
O95707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
O95243,5.361124376656167e-06,0.0,0.00010430516696676483,0.0,0.0,0.0,0.0,0.0
Q9Y6W6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
Q15306,4.492811677701028e-06,0.0,0.0,0.0,8.680800159215987e-06,0.0,0.0,6.979529515023263e-06
O00330,0.0,0.0,1.927329209359831e-06,3.242111643574173e-06,7.239629741600326e-07,0.0,9.52067657842575e-06,0.0
P62714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
O60244,0.0,0.0,6.105454296074321e-06,0.0,0.0,0.0,0.0,0.0
P50542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4470726791549624e-05
Q9HCN6,7.84919131519345e-05,7.35596765503579e-06,9.011821702509578e-05,1.926228807489045e-05,0.002723630738762013,0.0,5.644585589314675e-05,0.0
P42224,0.001863303303246783,1.1601632443244967e-05,6.306899387239726e-05,9.576178983488054e-05,0.002375195024655538,7.185846842614686e-06,0.00017383803868219725,3.540426342532746e-05
O75648,0.0,0.0,1.9276560162073912e-06,0.0,0.0,0.0,0.0,0.0
P46976,5.363015512580191e-06,0.0,0.0,0.0,2.2941131411943728e-06,0.0,0.0,0.0
Q14802,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P08567,0.0025016584832800175,4.276994801700541e-05,2.2778697131488032e-05,0.00013867980366251065,0.0009203525477047324,0.0,4.709522303137383e-05,0.001343313252867134
Q5VT66,0.0,0.0,1.9276098218505934e-06,0.0,2.2941502591426713e-06,0.0,0.0,0.0
Q9UIJ7,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q05923,4.491117537579374e-06,3.0119055538358286e-05,0.0,3.240928410678076e-06,7.236987584571958e-07,0.0,0.0,5.817628502927915e-05
P48995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
P16671,4.491983725240745e-06,0.0,0.0,0.0,6.0575954907191726e-05,0.0,0.0,1.3896255808491864e-06
P25101,4.4932864120895315e-06,0.0,0.0,0.0,7.240482509336486e-07,0.0,0.0,1.3900285758464161e-06
Q12834,1.3150331690212473e-05,2.340286026084144e-06,0.0,0.0,6.878057981721843e-06,0.0,0.0,1.6660701021954092e-05
Q9NUN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4037307338749955e-06
Q969U6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.540838254849885e-05
P13500,0.002447521710797424,0.0009127112057651888,2.212878593408882e-05,0.0006391396453805167,0.009589974264632515,0.0,0.0016376916226292142,0.0022327015525803367
Q13571,8.945804147785981e-07,0.0,0.0,0.0,1.515981604436902e-05,0.0,0.0,1.7919389454573858e-05
P36402,1.9259951027543852e-05,1.1743090104061772e-05,2.308638847587987e-05,0.0,5.491135532112016e-05,0.0,0.0,6.9755398494442734e-06
Q9UHN1,0.00011383963329278492,0.0,0.0,1.6258986487791952e-05,4.9855913926240164e-05,0.0,9.511676179945375e-06,2.575502915921315e-05
P43699,8.943784446820183e-07,0.0,1.926881136150465e-06,3.241357904481648e-06,8.678676782912604e-06,0.0,0.0,4.6345287642702575e-05
P0C6A0,0.03071562153628569,0.0038353652092965847,0.0,0.00011424911155517189,0.020823081074840977,0.0007490724549483204,0.0,0.00686094334511519
Q14654,0.0,0.00020572472926617613,0.0,0.0,2.2912062586263595e-06,0.00012092528741050569,0.0,0.0
P07492,1.3153025668677994e-05,0.0,0.0,0.0,7.240304015245856e-07,0.0,0.0,0.0
P19256,0.0,2.340901902249527e-06,0.0,0.0,7.240726057769164e-07,0.0,0.0,0.0
P21730,0.000456220047532219,7.717800124916298e-05,0.0,0.0,0.0007391960223799628,0.0,0.0,4.5925834099153385e-05
O75385,0.002163546962849206,1.162519723834532e-05,9.626907551691004e-05,0.0,0.000982288426418161,0.0,0.0,0.0006149098030835538
P43088,5.363144032906711e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q92186,8.947305987345125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.390088860532305e-06
B7ZC32,0.0,0.0,0.0,0.0,8.68177893444955e-06,0.0,0.0,0.0
P14679,1.8291079000346173e-05,0.0,2.4826702302027246e-05,0.0,4.338968702029277e-06,0.0,0.0,6.978355941610231e-06
Q14353,4.493264482753243e-06,0.0,0.0,0.0,3.6362526678119943e-06,0.0,0.0,0.0
Q8NCM8,0.0,0.0,9.677992440846803e-06,0.0,0.0,0.0,0.0,0.0
Q9UKY0,0.0,0.0,0.0,0.0,7.240967405609942e-07,0.0,0.0,0.0
Q99062,2.8343726777508606e-06,2.3405262542011886e-06,0.0,0.0,2.4338770012661197e-05,0.0,0.0,0.0
Q9HC29,0.0005635358250699088,0.0,2.475089667329618e-05,0.0,0.0004817392334228993,0.0,0.0,3.4981921251543864e-05
P21695,0.0,0.0003521351016879482,0.0,0.0,0.0,0.00010621001605133321,0.0,0.00013088263058087254
O15496,0.0,0.0,0.0,0.0,6.879642727297684e-06,0.0,0.0,1.3900298098433556e-06
O14842,6.264916408164344e-05,0.0,0.0,0.0,4.3391552481526686e-06,0.0,0.0,0.0
Q8N4E7,0.00044825682575710756,0.0,0.0,0.0,3.0288968521444074e-05,0.0,0.0,1.3879272742960921e-06
